Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
39,Dragan Bender\bendedr01,PF,21,PHO,4,14,5,0.5,0.25,0,15.6,25.4,20.3,0,0,0,33.3,18.6,,0,0,0,-0.134,,-10,-7.6,-17.6,-0.1
40,Davis Bertans\bertada01,PF,26,SAS,7,110,15.1,0.738,0.792,0.167,3.8,11.5,7.5,10.8,0.9,1.5,10.4,11.3,,0.3,0.1,0.4,0.163,,2.7,-0.7,2,0.1
41,Patrick Beverley\beverpa01,PG,30,LAC,8,193,7.3,0.39,0.558,0.25,3.5,16.6,10.6,24.9,1.4,0.8,17.2,15.1,,-0.2,0.2,0.1,0.024,,-1.1,0.7,-0.3,0.1
42,Khem Birch\birchkh01,C,26,ORL,2,17,11.8,0.5,0,0,0,12.5,5.8,0,5.6,0,0,9.9,,0,0,0,0.079,,-5,2,-3,0
43,Bismack Biyombo\biyombi01,C,26,CHO,4,45,11.9,0.49,0,0.625,9.3,21.5,15.3,2.9,0,13.6,16.4,11.5,,0,0.1,0.1,0.083,,-5.1,5.8,0.7,0
44,Nemanja Bjelica\bjeline01,PF,30,SAC,9,244,22.8,0.712,0.422,0.211,4.2,18.3,11.3,14.9,2.2,2.8,10.9,18.5,,0.8,0.4,1.2,0.233,,5.9,1.2,7.1,0.6
45,Antonio Blakeney\blakean01,SG,22,CHI,8,138,18.3,0.621,0.338,0.262,0.8,13.1,7.1,4.9,0.3,1.3,4,23.9,,0.3,0,0.2,0.078,,1.3,-5,-3.8,-0.1
46,Eric Bledsoe\bledser01,PG,29,MIL,8,227,18.1,0.562,0.4,0.224,4.8,9.2,7.3,33,1.4,2.5,14.6,19.8,,0.5,0.4,1,0.21,,2.9,1.9,4.8,0.4
47,Bojan Bogdanovic\bogdabo02,SF,29,IND,8,242,12.6,0.658,0.397,0.231,1,13.2,7.2,3.4,0.4,0,14.9,18.5,,0.3,0.2,0.5,0.092,,0.2,-1.8,-1.6,0
48,Jonah Bolden\boldejo01,PF,23,PHI,4,15,2,0.363,0.667,0.333,0,13.2,6.7,9.4,0,5.1,12.7,21.4,,-0.1,0,0,-0.11,,-7.9,-1,-8.9,0
49,Devin Booker\bookede01,SG,22,PHO,4,137,20.9,0.649,0.437,0.465,0.8,14.7,7.5,37.5,1,0,20.5,34,,0.2,0,0.2,0.072,,5,-3.7,1.3,0.1
50,Chris Boucher\bouchch01,PF,26,TOR,1,2,142.3,0.647,0.5,3,100,0,51.5,0,0,40.5,0,97.3,,0.1,0,0.1,1.618,,41,-12.8,28.2,0
51,Avery Bradley\bradlav01,SG,28,LAC,8,224,3.6,0.41,0.348,0.014,3,4.3,3.7,7.9,1.2,1,14.7,15.2,,-0.4,0.2,-0.2,-0.043,,-3,-0.6,-3.6,-0.1
52,Mikal Bridges\bridgmi01,SF,22,PHO,7,118,12.9,0.586,0.486,0.297,1.8,11.1,6.3,10.5,3.2,0,12.5,17.6,,0.1,0.1,0.1,0.055,,-0.3,-1.3,-1.7,0
53,Miles Bridges\bridgmi02,SF,20,CHO,8,152,15.2,0.637,0.432,0.159,2.8,17,9.8,9.4,1.9,1.7,11.3,14.9,,0.2,0.2,0.4,0.124,,1.4,0.5,1.9,0.1
