Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
254,Trey Lyles\lylestr01,PF,23,DEN,8,167,10.5,0.446,0.308,0.308,5.2,21.8,13.6,13.1,2.3,1.6,16.9,26.8,,-0.4,0.3,0,-0.01,,-6,1.8,-4.2,-0.1
255,Shelvin Mack\macksh01,PG,28,MEM,6,148,13.3,0.567,0.22,0.317,0.7,8.4,4.5,26.4,1.7,0,11.4,16,,0.2,0.2,0.4,0.131,,-1.3,-1,-2.2,0
256,Daryl Macon\maconda01,SG,23,DAL,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.011,,-6.5,-0.3,-6.8,0
257,Ian Mahinmi\mahinia01,C,32,WAS,6,101,10.2,0.544,0.125,1.25,9.1,16.5,12.8,4.1,1.8,2.4,13.9,11.9,,0.1,0.1,0.2,0.072,,-2.7,1,-1.7,0
258,Thon Maker\makerth01,C,21,MIL,3,41,16.9,0.69,0.583,0.333,2.7,27.5,16.6,6.6,0,5.9,12.7,15.8,,0.1,0.1,0.2,0.208,,0.2,3.4,3.6,0.1
259,Boban Marjanovic\marjabo01,C,30,LAC,8,89,31.9,0.766,0.029,0.824,11.5,32.8,22.9,6,1.6,6.7,17.8,26.5,,0.4,0.2,0.6,0.319,,3.4,1.7,5.2,0.2
260,Jarell Martin\martija01,PF,24,ORL,2,19,9.6,0.4,0.4,0,0,22.5,10.4,18.1,0,0,0,22.1,,0,0,0,-0.04,,-3.5,-2.7,-6.3,0
261,Frank Mason\masonfr01,PG,24,SAC,8,126,15.9,0.496,0.358,0.321,0,10.5,5.3,31,2.1,0,9,21.6,,0.2,0.1,0.3,0.111,,0.8,-2.9,-2.1,0
262,Wesley Matthews\matthwe02,SG,32,DAL,8,274,13,0.555,0.566,0.23,2.3,6.6,4.3,10.6,1,0,8.2,22.1,,0.3,0.1,0.4,0.065,,1,-3.8,-2.8,-0.1
263,Luc Mbah a Moute\mbahalu01,PF,32,LAC,4,61,7,0.495,0.333,0.278,3.7,8,6,4.6,0.8,1.2,9,15.2,,0,0.1,0,0.028,,-1.6,-1.5,-3.1,0
264,CJ McCollum\mccolcj01,SG,27,POR,8,254,13.5,0.514,0.368,0.256,3.6,8.7,6.4,10.6,0.6,0.9,8.5,25.4,,0.2,0.2,0.4,0.071,,-0.3,-2,-2.3,0
265,T.J. McConnell\mccontj01,PG,26,PHI,8,118,11.1,0.574,0.074,0.074,0.9,10.1,5.5,27.3,1.2,1.3,22.3,12.4,,0.1,0.1,0.2,0.084,,-3.4,-0.9,-4.3,-0.1
266,Doug McDermott\mcderdo01,SF,27,IND,8,140,13.5,0.711,0.676,0.189,0,6.5,3.3,7.5,0.7,0,2.4,13,,0.4,0.1,0.5,0.177,,3.8,-2,1.8,0.1
267,JaVale McGee\mcgeeja01,C,31,LAL,8,217,24.3,0.644,0.023,0.241,11.7,17.3,14.6,6.4,1.7,9.2,12.7,20.6,,0.5,0.3,0.8,0.176,,1.1,3,4.1,0.3
268,Rodney McGruder\mcgruro01,SG,27,MIA,7,239,15.5,0.641,0.479,0.225,3,15.1,9.1,15.9,1.2,1,11.4,14.9,,0.6,0.2,0.8,0.16,,3,1.7,4.7,0.4
269,Alfonzo McKinnie\mckinal01,SF,26,GSW,9,106,17.1,0.623,0.385,0.205,13.6,22.2,18.2,2.4,0.9,1.7,8.6,18.5,,0.2,0.1,0.3,0.158,,1.5,-3.6,-2.2,0
270,Ben McLemore\mclembe01,SG,25,SAC,5,24,5.1,0.505,0.818,0.182,0,0,0,5.2,0,0,7.8,22,,0,0,0,-0.035,,-1.1,-8.2,-9.2,0
271,Jordan McRae\mcraejo01,SG,27,WAS,3,21,-0.2,0.143,0.286,0,0,19.9,9.8,12.6,0,3.8,0,13.9,,-0.1,0,-0.1,-0.2,,-10.9,0.3,-10.6,0
272,De'Anthony Melton\meltode01,PG,20,PHO,2,22,-0.3,0.292,0.5,0,0,10.8,5.2,7,6.5,3.7,14.3,27.6,,-0.2,0,-0.1,-0.26,,-10.8,1.5,-9.3,0
273,Chimezie Metu\metuch01,PF,21,SAS,3,16,14.3,0.372,0.111,0.444,0,28.6,13.7,8.5,3,5.1,0,29,,0,0,0,0.009,,-9.2,0.8,-8.4,0
274,Khris Middleton\middlkh01,SF,27,MIL,8,249,20.2,0.654,0.56,0.294,1.3,13.9,8.4,18.3,2.2,0.7,14,23.6,,0.6,0.5,1.2,0.228,,4.9,1.8,6.7,0.5
275,C.J. Miles\milescj01,SF,31,TOR,8,112,5.6,0.432,0.634,0.293,2,9.5,6,5.6,0.8,2.9,9.8,19.2,,-0.1,0.1,0,-0.014,,-3.7,-0.4,-4.1,-0.1
276,Darius Miller\milleda01,SF,28,NOP,4,60,4.6,0.519,0.786,0.071,0,3.7,1.8,11.7,0.8,0,17.2,11.6,,0,0,0,-0.018,,-1.3,-3.6,-4.9,0
277,Patty Mills\millspa02,PG,30,SAS,7,187,6.8,0.551,0.5,0.239,1.1,9.8,5.3,6.3,0.8,0.4,16.4,14,,0,0.1,0.1,0.017,,-2.8,-1.2,-3.9,-0.1
278,Paul Millsap\millspa01,PF,33,DEN,8,220,17.9,0.557,0.195,0.481,9.4,20.9,15.2,6.5,1.8,4.4,12.2,20.3,,0.3,0.5,0.7,0.161,,-1.8,3.1,1.3,0.2
279,Nikola Mirotic\mirotni01,PF,27,NOP,8,248,24,0.598,0.419,0.243,10,25.7,17.6,7.3,1.3,1.7,5.6,25.7,,0.8,0.1,0.9,0.172,,4.9,-2.3,2.6,0.3
280,Donovan Mitchell\mitchdo01,SG,22,UTA,7,246,15.9,0.54,0.36,0.194,1.4,6.3,3.9,21.8,1.7,0.6,11.7,29.4,,0.1,0.2,0.4,0.076,,0.5,-1.4,-1,0.1
281,Malik Monk\monkma01,SG,20,CHO,9,214,13.3,0.545,0.578,0.137,1,7,4,12.4,1.1,1.6,9.2,23.7,,0.1,0.1,0.3,0.064,,1.5,-3,-1.5,0
282,Greg Monroe\monrogr01,C,28,TOR,2,9,10,0.2,0,0,36.6,32.3,34.3,13.7,0,0,0,23.3,,0,0,0,-0.01,,-4.8,-1.2,-6,0
283,E'Twaun Moore\mooreet01,SF,29,NOP,8,255,14,0.634,0.333,0.178,3.6,3.9,3.7,6.3,1.3,1.3,8.5,16.6,,0.5,0,0.5,0.091,,2.9,-1.8,1.1,0.2
284,Marcus Morris\morrima03,PF,29,BOS,8,202,17,0.661,0.488,0.263,2.9,25.2,13.9,6.7,0.9,0.8,13.6,21.9,,0.3,0.5,0.8,0.19,,1,1.1,2.1,0.2
285,Markieff Morris\morrima02,PF,29,WAS,6,154,15.7,0.647,0.509,0.245,2,20.3,11,9.3,0.9,3.6,13.3,18.3,,0.2,0.1,0.3,0.089,,0.5,0.3,0.8,0.1
286,Monte Morris\morrimo01,PG,23,DEN,8,179,13.5,0.462,0.246,0.185,3,8.4,5.7,22.2,2.7,0,6.6,17.7,,0.2,0.3,0.5,0.121,,-1.6,0.7,-0.8,0.1
287,Emmanuel Mudiay\mudiaem01,PG,22,NYK,1,2,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.003,,-5.2,0.8,-4.4,0
288,Jamal Murray\murraja01,PG,21,DEN,8,253,14.8,0.521,0.349,0.236,2.1,12.7,7.5,15,1.9,1.4,9.3,21.4,,0.2,0.4,0.6,0.122,,-1,1.2,0.2,0.1
289,Dzanan Musa\musadz01,SG,19,BRK,3,15,14.2,0.436,0.333,0.333,7.4,6.8,7.1,10.8,6.5,0,12.7,22.6,,0,0,0,-0.027,,-2.9,2.1,-0.8,0
290,Mike Muscala\muscami01,PF,27,PHI,6,111,14,0.704,0.714,0.321,5.4,16.1,10.8,8.8,0,2.8,13.5,13.6,,0.3,0.1,0.4,0.162,,1.3,-0.3,1,0.1
291,Svi Mykhailiuk\mykhasv01,SF,21,LAL,4,53,2.7,0.311,0.417,0.167,4,3.9,4,12.3,1.7,0,18.9,12.1,,-0.1,0,-0.1,-0.084,,-5.3,-2.3,-7.6,-0.1
292,Abdel Nader\naderab01,SF,25,OKC,2,4,-0.7,0,0,0,0,0,0,0,11.5,0,0,9.9,,0,0,0,-0.073,,-9.9,9,-0.9,0
293,Larry Nance\nancela02,C,26,CLE,6,123,22.7,0.538,0.022,0.356,10.3,20.1,14.9,26.2,3.6,0.7,5.5,18.8,,0.4,0.1,0.5,0.184,,4.1,0.6,4.7,0.2
294,Shabazz Napier\napiesh01,PG,27,BRK,5,69,15.4,0.542,0.545,0.394,0,4.4,2.3,18,2.8,0,11.4,27.2,,0.1,0,0.1,0.063,,0,-3.4,-3.4,0
295,Georges Niang\niangge01,PF,25,UTA,7,55,24.1,0.833,0.7,0.25,2.1,18,10.3,8.9,1.7,1.4,11.9,19.4,,0.2,0.1,0.3,0.267,,6.7,0.1,6.8,0.1
296,Nerlens Noel\noelne01,C,24,OKC,7,99,28.2,0.69,0,0.273,17.4,23.6,20.3,5,3.7,4.9,2.6,15.1,,0.4,0.2,0.7,0.324,,3.4,4.4,7.8,0.2
297,Frank Ntilikina\ntilila01,PG,20,NYK,8,240,8.6,0.492,0.456,0.103,0.4,8.1,4.1,16.9,1.8,0.7,14.4,14.6,,0,0.2,0.2,0.03,,-1.1,-0.2,-1.3,0
298,James Nunnally\nunnaja01,SF,28,MIN,2,25,17.4,0.751,0.667,0.5,0,12.6,6.3,16.2,0,0,0,12,,0.1,0,0.1,0.205,,4.3,-4.5,-0.2,0
299,Jusuf Nurkic\nurkiju01,C,24,POR,8,196,23.2,0.593,0.114,0.341,15.6,23,19.7,9,1.7,2.3,15.1,25.8,,0.4,0.4,0.8,0.191,,1.6,1.1,2.7,0.2
300,David Nwaba\nwabada01,SG,26,CLE,5,38,12.8,0.604,0.222,0.444,0,19.6,9,7.3,0,4.6,8.5,13,,0.1,0,0.1,0.081,,-2.6,-1.7,-4.3,0
301,Royce O'Neale\onealro01,SF,25,UTA,7,96,7.8,0.563,0.292,0.083,2.4,19.5,11.2,7.3,1.5,0,19.4,13.6,,0,0.1,0.1,0.045,,-3.5,1.4,-2.1,0
302,Kyle O'Quinn\oquinky01,C,28,IND,6,43,29.8,0.618,0.05,0.3,16.7,29.1,23.1,25,1.2,8.2,15,27.5,,0.2,0.1,0.3,0.295,,4.2,6,10.3,0.1
303,Semi Ojeleye\ojelese01,PF,24,BOS,6,47,7.2,0.472,0.583,0.333,4.1,12.7,8.4,0,2,0,0,12.5,,0,0.1,0.1,0.108,,-3.8,-0.4,-4.2,0
304,Jahlil Okafor\okafoja01,C,23,NOP,5,55,12.1,0.524,0,0.231,18.7,14,16.4,2.5,0,0,17.3,25.1,,0,0,0,-0.004,,-3.2,-5.9,-9.1,-0.1
305,Elie Okobo\okoboel01,PG,21,PHO,5,88,12.1,0.599,0.483,0.345,2.5,9.4,5.8,26.6,0.5,0,17.3,19.9,,0.1,0,0.1,0.055,,0.4,-4.6,-4.2,0
306,Josh Okogie\okogijo01,SG,20,MIN,6,176,10,0.458,0.4,0.167,5.9,13.1,9.5,6.2,2.7,1.8,12.3,17,,-0.1,0.1,0,-0.006,,-2.1,0,-2.2,0
307,Victor Oladipo\oladivi01,SG,26,IND,8,262,20.7,0.551,0.315,0.212,1.8,18.7,10.5,20.9,2.3,1,10.6,30.3,,0.3,0.4,0.7,0.127,,2.2,0.8,3,0.3
308,Kelly Olynyk\olynyke01,PF,27,MIA,7,143,18,0.636,0.587,0.37,5,10.1,7.6,17.8,1.7,1.7,11.6,17.1,,0.4,0.1,0.6,0.185,,4.3,1.2,5.5,0.3
309,Cedi Osman\osmande01,SF,23,CLE,8,257,8.8,0.491,0.394,0.182,4.1,14.5,8.9,14.2,1.3,0.7,20.2,21.9,,-0.3,0,-0.3,-0.063,,-2.4,-2.8,-5.1,-0.2
310,Kelly Oubre\oubreke01,SF,23,WAS,7,192,14.6,0.606,0.486,0.338,3.7,16.3,9.9,3.3,1,1.7,12.4,21.1,,0.2,0,0.2,0.058,,-0.4,-2.3,-2.7,0
311,Zaza Pachulia\pachuza01,C,34,DET,7,107,16.4,0.487,0,0.87,13.2,18.7,15.8,17.7,2.7,2.4,11.2,14,,0.2,0.2,0.4,0.172,,0.3,3.9,4.2,0.2
312,Jabari Parker\parkeja01,PF,23,CHI,8,225,14.4,0.512,0.286,0.2,5.4,18.9,12.3,12.1,1.1,1.6,10.9,24.9,,-0.1,0,0,-0.004,,-1.7,-1.8,-3.5,-0.1
313,Tony Parker\parketo01,PG,36,CHO,8,145,18.1,0.527,0.101,0.319,0.7,7.4,4,43.2,0.3,0,11.3,26,,0.3,0,0.4,0.119,,1.2,-5.2,-4,-0.1
314,Chandler Parsons\parsoch01,SF,30,MEM,3,46,6.9,0.5,0.588,0,2.4,7.4,4.9,7.3,1.1,2,10.5,18.5,,-0.1,0.1,0,0.018,,-3.4,-0.8,-4.2,0
315,Patrick Patterson\pattepa01,PF,29,OKC,7,126,11.9,0.551,0.6,0.2,5.3,15.1,10,0,1.1,1.9,6.4,14.6,,0.1,0.2,0.3,0.105,,-2.9,-2.2,-5.2,-0.1
316,Chris Paul\paulch01,PG,33,HOU,4,133,19.9,0.531,0.377,0.393,2.8,17.5,9.2,40.1,2.5,0,13.3,25.8,,0.2,0.1,0.3,0.11,,2.6,-0.7,1.9,0.1
317,Cameron Payne\payneca01,PG,24,CHI,8,184,13.6,0.576,0.415,0.185,3.6,6.4,5,21.7,1.3,1,16.6,20,,0.2,0,0.1,0.036,,0.7,-3,-2.4,0
318,Elfrid Payton\paytoel01,PG,24,NOP,5,144,15.4,0.549,0.146,0.229,5,17.5,11.1,28.9,1.3,0.6,17.2,17.7,,0.2,0,0.2,0.078,,1.1,-0.4,0.7,0.1
319,Theo Pinson\pinsoth01,SG,23,BRK,2,10,7.6,0.258,0.667,0.667,0,10.2,5.3,36.7,0,0,0,16.7,,0,0,0,-0.02,,-4.6,-4.5,-9.1,0
320,Mason Plumlee\plumlma01,C,28,DEN,8,139,20.2,0.634,0.023,0.395,12.5,16.2,14.4,13.2,3.5,3.8,20.5,19.2,,0.2,0.3,0.5,0.17,,0.2,5.2,5.5,0.3
321,Miles Plumlee\plumlmi01,C,30,ATL,5,44,25,0.783,0,0.75,13.6,16.3,15,23,2,0,20,18.4,,0.2,0,0.2,0.228,,3.2,-0.3,2.9,0.1
322,Jakob Poeltl\poeltja01,C,23,SAS,4,42,16.5,0.571,0,0,25,13.6,19.6,15.5,1.2,0,22.2,9.2,,0.1,0,0.1,0.17,,2.6,0.9,3.6,0.1
323,Quincy Pondexter\pondequ01,SF,30,SAS,4,33,18.8,0.563,0.25,0.25,9.5,20.8,14.9,4.1,7.4,0,10.1,12.9,,0,0.1,0.1,0.188,,0,4.2,4.3,0.1
324,Otto Porter\porteot01,SF,25,WAS,7,216,11.6,0.497,0.414,0.143,2.8,15,8.8,5.6,2.3,1.8,5.1,15.1,,0,0.1,0.1,0.031,,-1.8,0.7,-1.1,0
325,Bobby Portis\portibo01,PF,23,CHI,4,113,12.1,0.467,0.268,0.22,5.9,32.1,19.2,10.4,0.9,3.1,10,19.3,,-0.1,0.1,0,0.009,,-4,0.2,-3.8,-0.1
326,Dwight Powell\poweldw01,C,27,DAL,8,118,26.1,0.758,0.184,0.684,10,21.4,15.4,12.5,2.8,2.1,15.4,20.5,,0.5,0.1,0.6,0.258,,4.3,0.9,5.3,0.2
327,Norman Powell\powelno01,SG,25,TOR,8,135,10.8,0.634,0.471,0.206,0.8,11.5,6.5,7.5,1.4,0.6,13.9,13.4,,0.1,0.1,0.3,0.102,,-0.2,0.5,0.2,0.1
328,Alex Poythress\poythal01,PF,25,ATL,5,89,11.4,0.561,0.238,0.619,10.1,16.2,13.1,9.7,1,0.9,13,14,,0.1,0.1,0.2,0.084,,-2.7,-0.7,-3.4,0
329,Zhou Qi\qizh01,PF,23,HOU,1,1,78.8,1,0,0,0,0,0,0,0,0,0,41.5,,0,0,0,1.198,,23.4,-11.8,11.7,0
330,Ivan Rabb\rabbiv01,PF,21,MEM,2,23,13.5,0.633,0.2,0.6,9.6,29.6,19.5,21.1,2.1,4.1,38.8,20.1,,0,0.1,0,0.066,,-5.3,5.1,-0.1,0
331,Julius Randle\randlju01,C,24,NOP,8,187,23.1,0.621,0.146,0.51,7.2,28.2,17.3,13.8,1.5,1.8,14.5,29.4,,0.4,0.1,0.6,0.143,,2.1,-0.7,1.4,0.2
332,J.J. Redick\redicjj01,SG,34,PHI,9,278,14.8,0.558,0.61,0.213,1.4,9.3,5.4,16.6,0.7,0.3,7.5,23.6,,0.4,0.2,0.6,0.109,,2.5,-3,-0.5,0.1
333,Josh Richardson\richajo01,SG,25,MIA,7,239,14.3,0.529,0.457,0.207,3,10.3,6.7,12.5,1.4,2.4,10.6,24,,0.2,0.2,0.4,0.085,,1,0.7,1.7,0.2
334,Malachi Richardson\richama01,SG,23,TOR,5,29,-1.2,0.354,1,0.222,3.8,10,7.1,0,0,0,9.2,15.7,,-0.1,0,0,-0.079,,-5.3,-4.7,-10,-0.1
335,Austin Rivers\riverau01,SG,26,WAS,7,164,6.4,0.509,0.583,0.146,1.2,6.4,3.8,12.5,0.8,1.9,17.7,15.8,,-0.1,0,-0.2,-0.048,,-2.9,-1.5,-4.5,-0.1
336,Duncan Robinson\robindu01,PF,24,MIA,1,10,14.5,0.5,1,0,0,41.2,20.6,0,4.7,0,0,12.1,,0,0,0,0.139,,-3.7,-0.6,-4.3,0
337,Glenn Robinson\robingl02,SF,25,DET,6,77,9.1,0.542,0.263,0.263,2.6,10.1,6.2,0,1.2,1.1,8.6,12.6,,0,0.1,0.1,0.065,,-3.8,-1.8,-5.7,-0.1
338,Jerome Robinson\robinje01,SG,21,LAC,4,16,10.8,0.563,0.25,0,0,6.1,3.3,0,0,0,0,20.9,,0,0,0,0.068,,-1.2,-6.6,-7.8,0
339,Mitchell Robinson\robinmi01,C,20,NYK,6,85,15.7,0.606,0,0.333,13.3,9.5,11.5,1.7,1.7,4.2,8.8,11.2,,0.2,0.1,0.2,0.141,,0.4,1.6,2,0.1
340,Rajon Rondo\rondora01,PG,32,LAL,5,139,16,0.61,0.289,0.044,3.1,12.8,8,33.2,1.6,0,22.1,17.2,,0.2,0.1,0.3,0.103,,0.9,-2.5,-1.6,0
341,Derrick Rose\rosede01,PG,30,MIN,8,240,18.6,0.522,0.205,0.299,4.8,9.2,7,26.5,1.4,0.7,9.5,27,,0.4,0,0.4,0.075,,2.1,-2.9,-0.8,0.1
342,Terrence Ross\rosste01,SG,27,ORL,7,167,11.9,0.48,0.5,0.095,1.7,8.9,5,14,2.6,2,8.4,24,,-0.2,0.2,0,0.006,,-0.5,-0.3,-0.9,0
343,Terry Rozier\roziete01,PG,24,BOS,8,186,11.3,0.473,0.387,0.129,1,17.7,9.3,14.6,1.8,1.8,5.8,16,,0,0.5,0.5,0.125,,-2.4,3.8,1.3,0.2
344,Ricky Rubio\rubiori01,PG,28,UTA,7,206,8.9,0.454,0.41,0.311,1.1,9.1,5.2,32.9,1.8,0.8,24.1,18.8,,-0.1,0.2,0.1,0.02,,-3.4,0,-3.3,-0.1
345,D'Angelo Russell\russeda01,PG,22,BRK,8,226,14.8,0.533,0.472,0.16,2,11.7,7.1,31,1.3,1.3,17.5,26.2,,0.1,0.1,0.2,0.038,,0,-0.9,-0.9,0.1
346,Domantas Sabonis\sabondo01,C,22,IND,7,156,29.9,0.741,0.017,0.397,17.6,32.1,25.1,14.9,1.6,2.8,20,24.3,,0.7,0.3,1,0.301,,5.4,3,8.5,0.4
347,Dario Saric\saricda01,PF,24,PHI,9,273,6.7,0.437,0.532,0.191,6.3,16.7,11.5,10.1,0.7,0.6,13.6,17.6,,-0.3,0.3,0,0.005,,-3.4,-0.4,-3.8,-0.1
348,Tomas Satoransky\satorto01,SG,27,WAS,7,91,12.6,0.568,0.227,0.545,2.2,12.6,7.4,21.6,0.5,0.9,9.9,13.9,,0.2,0,0.2,0.09,,-1,-1.8,-2.7,0
349,Dennis Schroder\schrode01,PG,25,OKC,7,202,11.5,0.454,0.276,0.306,1.9,11.5,6.5,32,1.4,0.4,13.9,25.2,,-0.1,0.2,0.1,0.024,,-2.3,-0.8,-3,-0.1
350,Mike Scott\scottmi01,PF,30,LAC,8,90,12.7,0.75,0.5,0,2.5,15.1,9.3,10.9,1.6,0,13,10.7,,0.2,0.1,0.3,0.16,,3.2,-0.1,3.1,0.1
351,Wayne Selden\seldewa01,SG,24,MEM,6,94,13.1,0.653,0.485,0.152,2.4,4.8,3.6,11.2,2.1,0,18.5,20.6,,0,0.1,0.2,0.089,,-0.3,-1.3,-1.6,0
352,Collin Sexton\sextoco01,PG,20,CLE,8,194,12,0.536,0.107,0.44,3.8,8.9,6.2,13.9,1,0.4,16.7,23.3,,0.1,-0.1,0,-0.001,,-2,-4.2,-6.3,-0.2
353,Landry Shamet\shamela01,SG,21,PHI,9,169,8.7,0.545,0.725,0.137,1.2,5.3,3.2,5.7,1.4,0.5,5.3,13.8,,0.1,0.2,0.3,0.072,,-0.7,-1.6,-2.3,0
354,Iman Shumpert\shumpim01,SG,28,SAC,7,157,14.4,0.641,0.64,0.14,0.7,12.9,6.8,8.7,1.7,2.2,8.6,15.2,,0.3,0.2,0.5,0.138,,2.5,-0.5,2,0.2
355,Pascal Siakam\siakapa01,PF,24,TOR,8,208,16.7,0.624,0.203,0.203,5.8,21,13.9,11.7,2.3,1.9,16.7,16.9,,0.3,0.4,0.6,0.15,,0.6,3.3,3.9,0.3
356,Ben Simmons\simmobe01,PG,22,PHI,8,250,17.4,0.511,0,0.418,8.8,21.4,15.2,40,1.5,1.5,20.6,22.2,,0.2,0.4,0.6,0.11,,-0.3,2.5,2.2,0.3
357,Jonathon Simmons\simmojo02,SG,29,ORL,6,144,5.1,0.386,0.356,0.271,3.9,9.6,6.5,16.5,0.7,1.2,12,21.9,,-0.3,0.1,-0.3,-0.088,,-5,-1.4,-6.4,-0.2
358,Anfernee Simons\simonan01,SG,19,POR,2,3,8.9,0.5,0.5,0,0,0,0,0,0,0,0,28.3,,0,0,0,0.008,,-1.5,-8,-9.5,0
359,Marcus Smart\smartma01,SG,24,BOS,8,186,7.8,0.446,0.556,0.417,2.6,9.7,6.1,20.9,2.1,1.3,20.5,12.3,,-0.1,0.4,0.4,0.093,,-3.2,3.4,0.2,0.1
360,Dennis Smith\smithde03,PG,21,DAL,7,209,11.6,0.5,0.284,0.157,2.1,6.9,4.3,22.8,1.8,1.2,16.1,25.7,,-0.2,0.1,-0.1,-0.016,,-2.8,-2.5,-5.3,-0.2
361,Ish Smith\smithis01,PG,30,DET,7,201,12.5,0.601,0.394,0.076,0.5,8.8,4.5,17.7,0.5,0.8,11.7,16.1,,0.3,0.2,0.5,0.11,,0.8,-1.5,-0.8,0.1
362,J.R. Smith\smithjr01,SG,33,CLE,4,48,1.2,0.339,0.462,0.308,0,10.3,4.8,2.7,3.1,0,16.9,15.6,,-0.1,0,-0.1,-0.132,,-7,-2.5,-9.5,-0.1
363,Jason Smith\smithja02,C,32,WAS,5,79,13,0.51,0.1,0.4,11.6,22.4,17,12.7,0.6,4,14.5,14.5,,0.1,0,0.1,0.076,,-2.3,1.8,-0.5,0
364,Tony Snell\snellto01,SG,27,MIL,8,131,13.5,0.684,0.658,0.132,1.7,7.3,4.8,6.1,0.7,1.2,4.7,13.2,,0.3,0.2,0.5,0.184,,2.8,0.4,3.2,0.2
365,Ray Spalding\spaldra01,PF,21,DAL,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.011,,-6.5,-0.3,-6.8,0
366,Omari Spellman\spellom01,PF,21,ATL,7,126,11.8,0.528,0.45,0.2,10.3,13,11.7,9.3,1.1,1.3,12.1,16,,0.1,0.1,0.2,0.059,,-2.1,-1.1,-3.2,0
367,Nik Stauskas\stausni01,SG,25,POR,8,177,15.8,0.64,0.534,0.207,2.6,8.8,6,13.5,0.8,0.4,10,16.8,,0.5,0.1,0.6,0.165,,3.5,-1.1,2.4,0.2
368,Lance Stephenson\stephla01,SG,28,LAL,8,153,19.4,0.605,0.294,0.103,5.5,17.8,11.7,18.6,2.7,0,13.4,21.8,,0.3,0.1,0.4,0.128,,2.3,-1,1.3,0.1
369,Edmond Sumner\sumneed01,PG,23,IND,5,20,-2.6,0.205,0.25,0.5,6,0,2.9,5.8,2.5,0,17,13.1,,-0.1,0,-0.1,-0.133,,-7.1,0.3,-6.8,0
370,Caleb Swanigan\swanica01,PF,21,POR,4,57,8.2,0.47,0.111,0.278,11.9,33.9,24,4.7,0.8,0,22.9,19.5,,-0.1,0.1,0,0.023,,-6.2,-0.8,-6.9,-0.1
371,Jayson Tatum\tatumja01,SF,20,BOS,8,260,13,0.52,0.287,0.315,3,21.1,11.9,12.5,0.9,0.6,10.9,22.7,,0,0.6,0.6,0.118,,-2,2,-0.1,0.1
372,Jeff Teague\teaguje01,PG,30,MIN,7,212,13,0.493,0.282,0.359,0.5,7.9,4.2,31,1.3,0.4,12.6,19.9,,0.2,0,0.2,0.044,,-0.6,-3.9,-4.4,-0.1
373,Garrett Temple\templga01,SG,32,MEM,6,182,14.8,0.64,0.534,0.362,1.8,11.8,6.8,7.2,1.4,1.5,9.4,18.3,,0.3,0.3,0.6,0.151,,0.9,0.1,1,0.1
374,Milos Teodosic\teodomi01,PG,31,LAC,4,40,15.1,0.875,0.75,0,2.8,14.6,9.2,34.7,1.2,1.9,42.9,14.6,,0.1,0,0.1,0.131,,2.4,-1,1.4,0
375,Daniel Theis\theisda01,C,26,BOS,5,61,15.3,0.617,0.217,0.13,11.2,16.4,13.7,11.4,0,1.4,14.1,19.9,,0.1,0.1,0.2,0.173,,0.3,1.1,1.4,0.1
376,Lance Thomas\thomala01,PF,30,NYK,8,137,3.3,0.405,0.448,0.241,3,11.7,7.1,2.9,1.8,1.3,15.8,11.7,,-0.2,0.1,-0.1,-0.024,,-4.4,0.9,-3.5,-0.1
377,Klay Thompson\thompkl01,SG,28,GSW,9,295,12.8,0.529,0.408,0.134,2,11.5,7.1,6,1,1.6,8.8,26,,0,0.2,0.2,0.037,,-2.1,-3.4,-5.5,-0.3
378,Tristan Thompson\thomptr01,C,27,CLE,8,214,15.1,0.498,0,0.207,16.9,22,19.2,10.7,1.1,1.2,13.6,14.4,,0.3,0,0.3,0.061,,0.2,-0.9,-0.7,0.1
379,Anthony Tolliver\tollian01,PF,33,MIN,8,167,11.5,0.704,0.861,0.194,1.9,13.8,7.8,4,1.1,3.3,13.3,11,,0.2,0,0.3,0.076,,1.3,-0.5,0.7,0.1
380,Karl-Anthony Towns\townska01,C,23,MIN,8,258,20.1,0.587,0.357,0.339,9.3,25.1,17.2,11,1.1,5.4,15.2,24,,0.4,0.2,0.6,0.118,,1.4,0.9,2.3,0.3
381,Allonzo Trier\trieral01,SG,23,NYK,8,170,13,0.593,0.204,0.352,3,11.5,7,8.8,0.6,1.6,16.1,18.4,,0.1,0.1,0.2,0.063,,-1,-0.7,-1.8,0
382,P.J. Tucker\tuckepj01,PF,33,HOU,6,214,11.6,0.555,0.696,0.13,4.8,11.5,7.7,5.9,3.1,1.8,9.3,10.4,,0.2,0.1,0.3,0.069,,-0.8,2.2,1.4,0.2
383,Evan Turner\turneev01,PG,30,POR,8,198,15.1,0.543,0.104,0.194,1.7,17.2,10.2,26.2,2.2,1.2,18.9,19.2,,0.1,0.3,0.4,0.106,,-0.6,2.4,1.7,0.2
384,Myles Turner\turnemy01,C,22,IND,8,216,16.1,0.531,0.125,0.188,7.8,15.3,11.6,7.7,0.7,6.9,9.4,19.7,,0.2,0.3,0.5,0.114,,-1.3,3.1,1.8,0.2
